Слово,Частота,Процент
лев,1,0.00017783373612674568
николаевич,12,0.002134004833520948
толстой,35,0.006224180764436098
война,84,0.014938033834646636
и,24237,4.310156262503934
мир,68,0.012092694056618704
государственное,1,0.00017783373612674568
издательство,1,0.00017783373612674568
художественная,4,0.0007113349445069827
литература,1,0.00017783373612674568
москва,80,0.014226698890139652
1937,1,0.00017783373612674568
1940,1,0.00017783373612674568
электронное,2,0.00035566747225349135
издание,28,0.0049793446115488785
осуществлено,1,0.00017783373612674568
в,17850,3.1743321898624104
рамках,1,0.00017783373612674568
краудсорсингового,1,0.00017783373612674568
проекта,6,0.001067002416760474
весь,176,0.03129873755830724
один,539,0.09585238377231592
клик,3,0.000533501208380237
организаторы,1,0.00017783373612674568
государственный,12,0.002134004833520948
музей,5,0.0008891686806337283
л,13,0.0023118385696476937
н,33,0.005868513292182607
толстого,53,0.00942518801471752
усадьба,5,0.0008891686806337283
ясная,5,0.0008891686806337283
поляна,4,0.0007113349445069827
компания,2,0.00035566747225349135
abbyy,3,0.000533501208380237
подготовлено,2,0.00035566747225349135
на,7426,1.3205933244772132
основе,3,0.000533501208380237
электронных,1,0.00017783373612674568
копий,1,0.00017783373612674568
томов,12,0.002134004833520948
9,141,0.02507455679387114
12,169,0.030053901405420018
полного,7,0.0012448361528872196
собрания,8,0.0014226698890139654
сочинений,15,0.002667506041901185
предоставленных,1,0.00017783373612674568
российской,4,0.0007113349445069827
государственной,5,0.0008891686806337283
библиотекой,2,0.00035566747225349135
90,23,0.00409017593091515
томного,3,0.000533501208380237
доступно,2,0.00035566747225349135
портале,1,0.00017783373612674568
www,1,0.00017783373612674568
tolstoy,3,0.000533501208380237
ru,4,0.0007113349445069827
предисловие,5,0.0008891686806337283
редакционные,3,0.000533501208380237
пояснения,3,0.000533501208380237
к,3807,0.6770130334345207
томам,7,0.0012448361528872196
можно,244,0.043391431614925945
прочитать,1,0.00017783373612674568
настоящем,19,0.0033788409864081675
издании,34,0.006046347028309352
если,209,0.037167250850489844
вы,1211,0.215356654449489
нашли,14,0.0024896723057744393
ошибку,11,0.0019561710973942026
пожалуйста,32,0.005690679556055862
напишите,2,0.00035566747225349135
нам,205,0.03645591590598286
report,1,0.00017783373612674568
электронному,1,0.00017783373612674568
изданию,13,0.0023118385696476937
настоящее,13,0.0023118385696476937
представляет,4,0.0007113349445069827
собой,200,0.03556674722534913
электронную,1,0.00017783373612674568
версию,1,0.00017783373612674568
льва,2,0.00035566747225349135
николаевича,2,0.00035566747225349135
вышедшего,2,0.00035566747225349135
свет,57,0.010136522959224502
1928,1,0.00017783373612674568
1958,1,0.00017783373612674568
гг,118,0.02098438086295599
это,2803,0.49846796236326807
уникальное,1,0.00017783373612674568
академическое,1,0.00017783373612674568
самое,144,0.025608058002251376
полное,16,0.002845339778027931
собрание,3,0.000533501208380237
наследия,1,0.00017783373612674568
давно,184,0.0327214074473212
стало,129,0.022940551960350188
библиографической,1,0.00017783373612674568
редкостью,1,0.00017783373612674568
2006,1,0.00017783373612674568
году,76,0.01351536394563267
сотрудничестве,1,0.00017783373612674568
с,6575,1.1692568150333527
при,618,0.10990124892632883
поддержке,1,0.00017783373612674568
фонда,1,0.00017783373612674568
э,31,0.005512845819929116
